Author	Text	Location	Datetime
panama292016	RT @DLasAmericas: #Panamápaper  Kremlin dice que los Papeles de Panamá apuntan contra estabilidad en #Rusia https://t.co/siIhVt2QHV https:/…	None	15:41:57 04/04/2016
Engr_Rashids	RT @MaryamNSharif: Sharif family's official response to distortion of information given in Panama Leaks. https://t.co/d84jfOsQz6	Jeddah- Saudi Arabia	15:45:31 04/04/2016
itwitting	Panama Papers. Perguntas e respostas sobre o escândalo https://t.co/2cTD9b5EIj https://t.co/Jye9B6UXmS	Portugal	15:39:04 04/04/2016
jjohnnyglamour	RT @CFKGate: .CasaRosadaAR La sociedad off shore sin declarar de nuestro presidente .mauriciomacri en Time. #panamapapers https://t.co/rBx4…	None	15:44:23 04/04/2016
panchoferrari	Guillermo Del Zotto, corrupto. Esta mencionado en #panamapapers pero por su contacto con la prensa no aparecio aun https://t.co/1A85zxdhZE	Olavarría	15:39:28 04/04/2016
didi_forelsket	RT @ohboywhatashot: #panamapapers   NO Rockefeller  NO Bush  NO Rothschild  NO Clinton  NO Morgan  NO Soros... oh wait he sponsored it! htt…	O Rio é mais belo com NADESSA!	15:40:44 04/04/2016
ikincisarlken	RT @AltindalFAN: Papa Benedictus'u Pedofili skandalı istifa ettirmişti. Papa Francis'i de #panamapapers veya benzeri bankacılık skandalı is…	None	15:43:54 04/04/2016
advocjha	RT @pbhushan1: How many of the secret Panama tax haven account holders were given Padma Awards?We must all chant Pana-Ma ta Ki jai! https:/…	None	15:45:30 04/04/2016
rasyidaRAR	Panama nama ee wama wama ee	Indonesia	15:42:50 04/04/2016
vivitoart	RT @TiloJung: Frechheit: Schäubles Sprecher will keine EU-Briefkasten-Staaten nennen, da er darauf "keine Lust" hat https://t.co/rDziDDWOPN…	Hamburg	15:42:50 04/04/2016
gus666tav	RT @BBCWorld: Relatives of seven current or former Chinese leaders found to have links to offshore firms #PanamaPapers   https://t.co/NIjpo…	Bolivia	15:45:21 04/04/2016
paguirreblo	Videos en el mundo explican investigación con base en Panama Papers: Medios del mundo retomaron las investigac... https://t.co/3Yxqd7TvT7	None	15:38:21 04/04/2016
code243news	INFOGRAPHIE. "Panama papers" : qui sont les hommes de pouvoir qui utilisent des sociétés offshore ? https://t.co/dt45KRrSba	Washington DC	15:40:57 04/04/2016
TheaGood	Panama Papers: 2.6 terabytes of data By Jim Stone The Mossack Fonseca Interactive Web Of Secret Companies... https://t.co/MN4NudaE36	ANYWHERE I WANT TO BE	15:42:17 04/04/2016
elt3rrible	Los Papeles de Panamá en 1 minuto https://t.co/Bbstzms7pK vía @YouTube	None	15:42:09 04/04/2016
myphboy	https://t.co/s7BdgUFkNo #Duterte2016 #EncantadiaReveal24Oras #WrestleMania #PanamaLeaks #ACMs #TheWalkingDead #BM100 https://t.co/B0LZZBlaBI	Manila	15:43:45 04/04/2016
MttRchrds	The Panama Papers is one of Dickens' lesser known works.	North of South, South of North	15:45:01 04/04/2016
KonectaEmpleo	Panamá - Telecommunication Engineer. https://t.co/MTcoqxPhpK	None	15:38:32 04/04/2016
Jannat48119031	RT @LoveMSG77: @SACHKAHOON बधाई हो बधाई   मेरे महान देश के महान गद्दार   #200DaysMSG2   #panamapapers	None	15:39:38 04/04/2016
MannPreston	In case you've been living in a shell...the world's rich store their money in offshore accounts #PanamaLeaks #panamapapers #OffshoreCompany	Colorado	15:39:50 04/04/2016
alejandrocolon	Dueños de Higa y de TV Azteca, implicados en el 'Panama Papers' - Grupo Milenio https://t.co/3KmivUGf1V	None	15:40:50 04/04/2016
Mr_Charbon	RT @Hergeloffeni: La différence entre l'Islande et la France, c'est que l'Islande va faire du ménage #panamapapers	Uqbar - B612 - Eldorado	15:42:04 04/04/2016
drakedalfa	RT @TheHackersNews: Panama Papers — Biggest leak Exposes Global Corruption: Celebs, Politicians &amp; Billionaires.. https://t.co/EMC6Ac3Ebp ht…	El Salvador	15:42:06 04/04/2016
33cco	Canada's RBC defends practices after Panama Papers leak https://t.co/eqtQ5DljfF #finance #news	None	15:45:12 04/04/2016
mumydeneuquen	RT @mabaires: y qué fue a hacer el procesado por lavado Prat Gay a Panamá? https://t.co/wptNfk3Oge	Neuquen	15:36:43 04/04/2016
Mvteeo	RT @VeraMBergen: Pretty incredible that there isn't a single mention of the biggest financial leak in history in WSJ A1 #PanamaPapers https…	Rachel's Arms	15:38:09 04/04/2016
ElsGrooten	RT @Doriski: #panamapapers Waarom spreekt iedereen over #belastingontwijking"? Het is toch gewooon #belastingontduiking?" Nou, het mag in e…	None	15:40:15 04/04/2016
Mcknife1952	RT @Lnnie: Dubbed the Panama Papers, the unprecedented release maps how a global elite of one-percenters has hidden assets,.. https://t.co/…	Eugene, OR	15:44:42 04/04/2016
Maastricht_nt	#NieuwsTwitter Topman Altice genoemd in 'Panama Papers' https://t.co/XpdJO65FKV #actueel	Nederland	15:37:39 04/04/2016
nicolascracovie	RT @GlobalAsianista: Panama Papers include entities with North Korea ties https://t.co/DgBxH3ZW1x	France	15:37:40 04/04/2016
Robtitto	RT @ierrejon: Mientras nos decían que teníamos que apretarnos el cinturón y sufríamos recortes, evadían impuestos #PanamaPapers https://t.c…	Sta.Eulalia(Ibiza) - Esquivias	15:38:46 04/04/2016
feramato	RT @PeriodistaPeron: Con el problema que se hacía está mujer por Hotesur, me imagino cómo se va a poner con lo de los #panamapapers https:/…	Buenos Aires, Argentina	15:38:45 04/04/2016
SauceArachide	Un grand parti politique ? mmmmh ? un début de réponse ici ? https://t.co/rk4cxMjYmH #panamapapers France	Afrique	15:38:42 04/04/2016
maxirocha79	RT @oscarfink: El embajador Del Sel, reunido con su equipo para analizar el impacto de los #panamapapers en relaciones bilaterales https://…	None	15:39:58 04/04/2016
lgale517	RT @richardboynton: First question of every future debate during #Election2016 Are you in any way going to be implicated in #panamapapers ?…	North Carolina, USA	15:39:55 04/04/2016
baquiqui	El relato mas corto del mundo.  Relato PRO Panama papers #Bastadecorrupcion	None	15:42:38 04/04/2016
VallesiLanau	RT @martaribasfrias: Vaja, q mentre ens cruixien amb #retallades i ens deien q no hi ha més remei, milers de líders i ricatxons del món eva…	Molins de Rei	15:42:39 04/04/2016
VSaarenketo	RT @suviauvi: #panamapapers https://t.co/Efgud7kOO2	Turku, Finland Perkele	14:52:02 04/04/2016
alexalvalle	RT @revistaproceso: Ejecutivo de Televisa, el dueño de TV Azteca, narcos y empresarios, adictos a las empresas fantasmas #PanamaPapers http…	None	14:52:06 04/04/2016
ozzynam	RT @euronewses: Guía rápida para no perderse en la inmensidad de los Papeles de Panamá  https://t.co/HqVv6m3wgc #PanamaPapers	♦ Mexico City ♦	14:52:06 04/04/2016
petr_hruby	RT @Telegraph: What are the Panama Papers, who is involved and what is a tax haven? https://t.co/FzExcfjp1M https://t.co/dK8yj9JDHD	Ostrava, Czech Republic	14:54:37 04/04/2016
AldoWalterPagli	RT @EdgardoRovira: Prat Gay, el "joven maravilla" del JP Morgan en lavados y fuga de activos hace unos días en Panama. #panamapapers https:…	None	14:56:03 04/04/2016
AnaMariaFerre	RT @elcitizen: Panamá Papers: 6 formas en las que los ricos y poderosos esconden riquezas y evaden impuestos - BBC Mundo https://t.co/OQYwO…	Falcón, Venezuela	14:57:19 04/04/2016
RapDelExilio	RT @el_dinamo: The Panamá Papers: Agustín Edwards, Büchi y presidente de Chile Transparente entre los involucrados https://t.co/m18yoN9zRY	Santiago, Chile	14:52:10 04/04/2016
